Bureau of Justice Statistics,,,,,,,,,,,,
Filename: ardppsrsmt09.csv,,,,,,,,,,,,
"Table 9. Manners of arrest-related deaths, by information source, June-August 2015",,,,,,,,,,,,
Report title: Arrest-Related Deaths Program: Pilot Study of Redesigned Survey Methodology  NCJ 252675,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015",,,,,,,,,,,,
"Author: Connor Brooks and Kevin M. Scott, Ph.D., BJS Statisticians",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,
Date of version: 07/30/2019,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 9. Manners of arrest-related deaths, by information source, June-August 2015",,,,,,,,,,,,
,,,,,,Source of manner-of-death measure,,,,,,
,,All deaths,,,,Incident form ,,,,Open source,,
Manner of death,,Number,Percent of all deaths,,,Number/a,Percent of manner-of-death,,,Number,Percent of manner-of-death,
,All manners of death,424,100,%,,301,71,%,,123,29,%
Homicide/b,,268,63.2,,,195,72.8,,,73,27.2,
Suicide,,75,17.7,,,46,61.3,,,29,38.7,
Accident,,50,11.8,,,40,80,,,10,20,
Natural causes,,6,1.4,,,5,83.3,,,1,16.7,
Undetermined,,8,1.9,,,8,100,,,0,0,
Unknown/investigation incomplete,,17,4,,,7,41.2,,,10,58.8,
Note: Manner of death was determined from review of open-source information when this information was not provided by the agency survey respondent.,,,,,,,,,,,,
a/Tables 11 through 15 report on the 303 deaths for which LEAs completed a CJ-11A form. Manner of death was provided on 301 CJ-12A forms.,,,,,,,,,,,,
b/Homicide is the willful killing of one person by another and includes justifiable homicide by a law enforcement officer.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015.",,,,,,,,,,,,
