Bureau of Justice Statistics,,,,,,,,,,,,
Filename: ardppsrsmt04.csv,,,,,,,,,,,,
"Table 4. Types of reporting law enforcement agencies, by death-identification source, June-August 2015",,,,,,,,,,,,
Report title: Arrest-Related Deaths Program: Pilot Study of Redesigned Survey Methodology  NCJ 252675,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015",,,,,,,,,,,,
"Author: Connor Brooks and Kevin M. Scott, Ph.D., BJS Statisticians",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,
Date of version: 07/30/2019,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 4. Types of reporting law enforcement agencies, by death-identification source, June-August 2015",,,,,,,,,,,,
,,,,,,Identification source,,,,,,
,,All deaths,,,,Media-identified deaths,,,,Agency-reported deaths,,
Law enforcement agency (LEA) type,,Number,Percent of all deaths,,,Number,Percent of LEA type,,,Number,Percent of LEA type,
,Total,424,100,%,,376,88.7,%,,48,11.3,%
Local LEA with 500 or more full-time sworn officers,,144,34,,,120,83.3,,,24,16.7,
Local LEA with fewer than 500 full-time sworn officers,,243,57.3,,,230,94.7,,,13,5.3,
State agency,,30,7.1,,,23,76.7,,,7,23.3,
LEA type or size unknown/missing,,7,1.7,,,3,42.9,,,4,57.1,
Note: Details may not sum to totals due to rounding. ,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015.",,,,,,,,,,,,
