Bureau of Justice Statistics,,,,,,,,,,,,
Filename: ardppsrsmt05.csv,,,,,,,,,,,,
"Table 5. Manners of arrest-related deaths, by identification source, June-August 2015",,,,,,,,,,,,
Report title: Arrest-Related Deaths Program: Pilot Study of Redesigned Survey Methodology  NCJ 252675,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015",,,,,,,,,,,,
"Author: Connor Brooks and Kevin M. Scott, Ph.D., BJS Statisticians",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,
Date of version: 07/30/2019,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 5. Manners of arrest-related deaths, by identification source, June-August 2015",,,,,,,,,,,,
,,,,,,Identification source,,,,,,
,,All deaths,,,,Media-identified deaths,,,,Agency-reported deaths,,
Manner of death,,Number,Percent of all deaths,,,Number,Percent of manner of death,,,Number,Percent of manner of death,
All manners of death,,424,100,%,,376,88.7,%,,48,11.3,%
,Homicide/a,268,63.2,,,267,99.6,,,1,0.4,
,Suicide,75,17.7,,,62,82.7,,,13,17.3,
,Accident,50,11.8,,,27,54,,,23,46,
,Natural causes,6,1.4,,,1,16.7,,,5,83.3,
,Undetermined,8,1.9,,,8,100,,,0,0,
,Unknown/investigation incomplete,17,4,,,11,64.7,,,6,35.3,
a/Homicide is the willful killing of one person by another and includes justifiable homicide by a law enforcement officer.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015.",,,,,,,,,,,,
