Bureau of Justice Statistics,,,,,,,,,,,,
Filename: ardppsrsmt15.csv,,,,,,,,,,,,
"Table 15. Percent of arrest-related deaths, by law enforcement actions during incident, as reported by responding agencies, June-August 2015",,,,,,,,,,,,
Report title: Arrest-Related Deaths Program: Pilot Study of Redesigned Survey Methodology  NCJ 252675,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, Arrest-Related Deaths Program-Redesign Study, 2015",,,,,,,,,,,,
"Author: Connor Brooks and Kevin M. Scott, Ph.D., BJS Statisticians",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or (202) 307-0765,,,,,,,,,,,,
Date of version: 07/30/2019,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 15. Percent of arrest-related deaths, by law enforcement actions during incident, as reported by responding agencies, June-August 2015",,,,,,,,,,,,
,,,,,Manner of death/a,,,,,,,
Law enforcement action during incident,,All manners of death,,,Homicide/b,,,Suicide,,,Other,
,Total deaths,303,,,211,,,43,,,39,
Fought/struggled with the decedent,,22.1,%,,19.9,%,,9.3,%,,41,%
Restrained decedent with equipment/c,,21.5,,,12.3,,,9.3,,,69.2,
Arrested the decedent,,19.1,,,16.1,,,7,,,41,
Engaged in foot pursuit,,18.2,,,16.6,,,18.6,,,23.1,
Engaged in motor vehicle pursuit,,17.2,,,14.7,,,20.9,,,25.6,
Physically restrained decedent/d,,10.6,,,7.6,,,4.7,,,28.2,
Placed decedent in prone position,,9.6,,,6.2,,,2.3,,,28.2,
Note: Information on law enforcement actions missing/unknown for between 17 and 32 of the 303 arrest-related deaths with a completed incident form. Manner of death was missing for 10 arrest-related deaths. CJ-11A incident forms were missing for 121 of the 424 arrest-related deaths that occurred during June-August 2015. Details may not sum to totals because more than one response was allowed.,,,,,,,,,,,,
a/Manner of death missing/unknown for 10 of the 303 arrest-related deaths with a completed CJ-11A incident form.,,,,,,,,,,,,
b/Homicide is the willful killing of one person by another and includes justifiable homicide by a law enforcement officer.,,,,,,,,,,,,
c/Includes restraining with handcuffs or leg shackles.,,,,,,,,,,,,
d/Includes restraining with control holds or body compression.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Arrest-Related Deaths Program- Redesign Study, 2015.",,,,,,,,,,,,
